ID,Class
11405,a
7713,a
15751,b
16389,b
17007,b
12816,b
7606,a
18021,a
14603,b
6841,a
8928,a
4263,b
15216,b
5410,a
5049,a
4401,a
997,a
12285,a
17398,b
15327,b
9565,a
13405,a
3191,a
1388,a
6136,a
10758,a
17593,b
6526,a
4756,a
15225,b
11944,a
14666,b
6409,a
13736,a
10343,a
12894,a
7489,a
9217,a
13009,b
8860,a
7424,a
12286,a
10624,b
6805,a
15521,b
14111,b
14720,b
17461,a
6937,a
9404,a
17326,b
5740,a
14674,a
9226,a
10663,a
1301,a
2225,a
4777,a
11985,a
8757,a
4183,a
15788,b
1967,a
18816,b
1920,a
4043,a
15612,b
12298,a
51,a
7993,a
6765,a
8205,a
6071,a
9761,a
12303,a
3956,a
18240,a
2557,a
9658,a
7173,a
17148,a
10321,a
11258,a
6601,a
2251,a
15555,b
15741,b
17673,a
14400,a
18105,b
2971,a
9332,a
10517,a
6196,a
14989,b
12230,a
6506,a
7416,a
4535,b
8385,b
7973,a
7275,a
8214,a
535,a
16947,b
15820,b
7864,a
4329,a
17313,b
6140,a
9299,b
10097,a
9866,a
15263,b
9974,a
17277,b
10803,a
6,a
3333,a
15180,b
14245,b
2216,a
9381,a
1973,a
18749,b
7623,a
14248,b
13397,b
18001,b
18730,b
7377,b
309,a
9237,a
10666,a
11400,a
12151,a
18031,a
14627,b
1471,a
13907,b
8176,a
10912,b
17236,b
16670,a
1542,a
3787,a
13716,b
2509,a
11033,a
9750,a
258,a
4431,a
6209,a
15378,b
5241,a
6854,a
17041,b
12618,b
8615,a
5583,a
18822,a
11035,a
6229,a
8560,b
11690,a
11169,a
14044,b
9214,a
8275,a
12402,b
1213,a
12628,b
18914,b
11959,a
2480,a
5364,a
1206,b
14097,b
6925,a
11073,a
1552,a
18558,b
6632,a
3279,a
6614,a
10810,a
4214,a
15245,b
17735,b
12388,a
410,a
3090,a
5643,a
4058,a
15976,b
12312,b
12772,b
13068,b
18211,a
12148,a
5866,a
1196,a
7563,b
16178,a
15165,b
9360,a
7836,a
8733,a
1941,a
17274,b
9035,b
15118,b
17200,b
3108,a
9497,a
7832,a
10125,a
4441,a
2240,a
16048,b
898,a
4393,b
2703,a
8739,a
13715,b
12346,b
13417,b
16176,b
9450,a
10927,a
9840,a
2563,a
15999,b
4179,a
4107,a
13484,b
12753,b
5883,a
7934,a
10529,a
14427,b
4602,a
15077,b
3364,a
4741,a
8604,a
3727,a
1691,a
15948,b
6749,a
14068,a
9802,a
2375,a
6634,a
5359,a
2878,a
9223,a
12483,b
8012,a
12209,a
8158,a
4864,a
17262,b
11193,a
2761,a
8454,a
2005,a
18609,b
11714,a
16013,b
12956,b
4172,a
14121,a
16717,a
16017,b
5482,a
17872,b
5735,a
12845,b
288,a
9376,a
17692,b
1143,a
3790,a
6623,a
11953,a
3562,a
2330,a
11676,a
12602,b
8256,a
13258,a
7255,a
374,a
11330,a
17721,b
15644,b
11411,a
989,a
17402,a
4969,a
5625,a
4187,a
3203,a
16228,b
15460,a
13138,b
18910,a
4999,b
6507,a
9784,a
9083,a
953,a
6305,a
7770,b
14610,a
12175,b
173,a
17408,b
9695,a
12988,b
15466,a
9505,a
914,a
18104,b
15314,b
8042,a
6651,a
10121,b
152,a
4220,a
11436,a
14395,b
5432,a
3357,a
12117,a
7044,a
5467,b
8656,a
5134,a
15328,b
10553,a
2214,a
312,a
16147,a
11323,a
2135,a
4752,a
10515,a
13291,a
16673,b
8769,a
7361,a
7432,a
2248,a
5798,a
17480,a
3615,a
7178,a
15479,a
6815,a
1083,a
2716,a
8306,a
1052,a
15807,b
8660,a
2548,a
15381,b
1454,a
12310,b
5601,a
3721,a
12791,b
2001,a
16010,b
1871,a
10608,a
6442,a
11760,a
16565,b
15349,b
9418,a
1112,a
9304,a
17280,b
3158,a
12,a
3879,a
13203,b
18796,b
1658,a
2121,a
11267,a
18683,a
2689,a
17054,a
2340,a
7206,a
5910,a
2361,a
15844,a
4817,a
4728,a
9430,a
3858,b
14534,b
16025,b
11224,a
7096,a
17381,b
1504,a
12282,a
11875,a
1609,a
5302,a
9310,a
15547,b
7799,a
18933,a
18838,b
14636,b
13520,b
2526,a
3672,a
18655,b
15238,b
13930,b
12239,a
16898,a
14907,a
4654,a
6979,a
15503,b
10272,a
8934,a
14435,b
10494,b
3004,a
823,a
12309,a
12664,b
9394,a
11298,a
842,a
7637,a
352,a
16969,b
8585,a
5161,a
1382,a
10939,a
14746,a
9410,a
9514,a
1134,a
564,a
508,a
7434,a
3366,b
10013,a
9177,a
15331,b
1005,a
17409,b
2259,a
2344,a
10755,a
7967,a
18351,b
1759,a
6944,a
6735,a
11551,a
10818,a
7292,a
3837,a
12420,b
87,a
3189,a
